train_stations,city_name,region_name
Riyadh-North Station,Riyadh,Riyadh Region
Al Majmaah station,Al Majmaah,Riyadh Region
Al Qassim Railway Station,Al Qassim ,Al Qassim Region
Hail Railway Station,Hail,Hail Region
Al Jouf Railway Station,Al Jouf,North Region 
Al Qurayyat Passenger Railway Station,Al Qurayyat,North Region 
Riyadh-East station,Riyadh,Riyadh Region
Hofuf Railway Station,Al Hufuf,Eastern Province Region
Buqayq Railway Station,Buqayq,Eastern Province Region
Dammam railway station,Dammam,Eastern Province Region
Mecca Train Station,Makkah,Makkah Region
King Abdulaziz International Airport Railway Station,Jeddah,Makkah Region
Madinah train station,Madinah,Al Madinah Region
